Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho
0.259641748604482,0.246687882340282,0.272595614868681,0,GLM,100,0.5,0.01,0
0.00579567977737822,-0.00715818648685263,0.0187495460416091,0.644824681927864,EN,100,0.5,0.01,0
0.0118666229955104,-0.00108724326873722,0.0248204892597581,0.0835708757859842,AEN,100,0.5,0.01,0
0.0218176309853943,0.00886376472120776,0.0347714972495809,0.000141739660017848,RF,100,0.5,0.01,0
-0.0641798810189501,-0.0771347666878371,-0.0512249953500631,0,GLM,1000,20,0.05,0
0.00631487309586892,-0.00664001257301807,0.0192697587647559,0.574342880540151,EN,1000,20,0.05,0
0.0517352940783337,0.0387804084094467,0.0646901797472207,0,AEN,1000,20,0.05,0
-0.0075103565202031,-0.0204652421890901,0.00544452914868389,0.420049863444765,RF,1000,20,0.05,0
0.0210393297792743,0.00808193760835473,0.0339967219501938,0.000273671605982906,GLM,500,0.5,0.05,0.3
-0.000330291630638802,-0.0132876838015583,0.0126271005402807,0.999989151745701,EN,500,0.5,0.05,0.3
0.260795872411581,0.247838480240662,0.273753264582501,0,AEN,500,0.5,0.05,0.3
0.333404875279464,0.320447483108544,0.346362267450383,0,RF,500,0.5,0.05,0.3
-0.0401037258583703,-0.0530552560343138,-0.0271521956824268,5.20694598549198e-14,GLM,5000,10,0.1,0.3
0.000141248672399841,-0.0128102815035436,0.0130927788483433,0.999999635939783,EN,5000,10,0.1,0.3
0.0605805142002768,0.0476289840243333,0.0735320443762203,0,AEN,5000,10,0.1,0.3
0.349528721856098,0.336577191680154,0.362480252032041,0,RF,5000,10,0.1,0.3
0.0051644361381401,-0.00778392261762053,0.0181127948939007,0.729138913581076,GLM,500,1,0.1,0.3
-0.000313337121087387,-0.013261695876848,0.0126350216346732,0.999991209849826,EN,500,1,0.1,0.3
0.241209745666117,0.228261386910357,0.254158104421878,0,AEN,500,1,0.1,0.3
0.337473334522353,0.324524975766592,0.350421693278113,0,RF,500,1,0.1,0.3
-0.0388242148876519,-0.0517800959068756,-0.0258683338684282,3.78697073699641e-13,GLM,5000,1,0.01,0.6
0.000668535577927232,-0.0122873454412965,0.0136244165971509,0.999820227300664,EN,5000,1,0.01,0.6
0.0760450221288168,0.0630891411095931,0.0890009031480405,0,AEN,5000,1,0.01,0.6
0.273044381404299,0.260088500385075,0.286000262423523,0,RF,5000,1,0.01,0.6
-0.0380968613226144,-0.0510535233933194,-0.0251401992519093,7.58104690135042e-12,GLM,1000,1,0.05,0.6
0.00115122428229952,-0.0118054377884055,0.0141078863530046,0.998470501168291,EN,1000,1,0.05,0.6
0.15989025988539,0.146933597814685,0.172846921956095,0,AEN,1000,1,0.05,0.6
0.266979828851731,0.254023166781026,0.279936490922437,0,RF,1000,1,0.05,0.6
0.0144594800481284,0.00150799259514229,0.0274109675011144,0.0229357794608339,GLM,500,0.5,0.05,0.6
-0.000753743117275163,-0.0137052305702612,0.0121977443357109,0.999710842037631,EN,500,0.5,0.05,0.6
0.215359972277922,0.202408484824936,0.228311459730908,0,AEN,500,0.5,0.05,0.6
0.233083259258413,0.220131771805427,0.2460347467114,0,RF,500,0.5,0.05,0.6
-0.0334215491720471,-0.0463750255214426,-0.0204680728226516,7.49308060044029e-10,GLM,5000,10,0.1,0.6
0.000713909887544717,-0.0122395664618508,0.0136673862369403,0.999766776653685,EN,5000,10,0.1,0.6
0.0644754282060999,0.0515219518567043,0.0774289045554954,0,AEN,5000,10,0.1,0.6
0.267285564667803,0.254332088318407,0.280239041017198,0,RF,5000,10,0.1,0.6
0.00830998556603812,-0.00464281266408248,0.0212627837961587,0.329500199280216,GLM,500,1,0.1,0.6
0.00122430893368841,-0.0117284892964322,0.014177107163809,0.998056160175189,EN,500,1,0.1,0.6
0.213584745076006,0.200631946845886,0.226537543306127,0,AEN,500,1,0.1,0.6
0.235969030004489,0.223016231774368,0.24892182823461,0,RF,500,1,0.1,0.6
-0.0211778233465786,-0.0341350575311733,-0.00822058916198384,0.000246029245356549,GLM,5000,1,0.01,0.95
0.000122867983259223,-0.0128343662013355,0.013080102167854,0.999999791517055,EN,5000,1,0.01,0.95
0.0504902660789033,0.0375330318943085,0.063447500263498,0,AEN,5000,1,0.01,0.95
0.0455117629555217,0.032554528770927,0.0584689971401165,1.11022302462516e-16,RF,5000,1,0.01,0.95
-0.0247006478262624,-0.0376523926847657,-0.011748902967759,9.60100945646136e-06,GLM,1000,1,0.05,0.95
-0.000259894549893169,-0.0132116394083965,0.0126918503086102,0.999995834746761,EN,1000,1,0.05,0.95
