Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho
-0.00562462513940931,-0.00935204400419798,-0.00189720627462064,0.000942430886514689,GLM,100,0.5,0.01,0
-0.000155682109294619,-0.00443371774543707,0.00412235352684783,0.999943082396255,EN,100,0.5,0.01,0
5.32997447207917e-05,-0.0042332325322488,0.00433983202169038,0.999999217094391,AEN,100,0.5,0.01,0
-0.0122649076948714,-0.0158198689880584,-0.00870994640168444,0,RF,100,0.5,0.01,0
-0.0107519999999984,-0.0134121953835302,-0.00809180461646667,0,GLM,1000,20,0.05,0
0.000839350000000127,-0.00182084538353163,0.00349954538353189,0.856677776421746,EN,1000,20,0.05,0
0.0023939999999989,-0.000266195383532864,0.00505419538353066,0.091510008981683,AEN,1000,20,0.05,0
-0.00598170000000253,-0.00864189538353429,-0.00332150461647077,1.13992667083451e-07,RF,1000,20,0.05,0
-0.0027220500000007,-0.00538090573055958,-6.31942694418173e-05,0.0430504160122385,GLM,500,0.5,0.05,0.3
-0.000236749999997454,-0.00289560573055633,0.00242210573056143,0.99846398038783,EN,500,0.5,0.05,0.3
0.0870025575949364,0.0843353010354491,0.0896698141544236,0,AEN,500,0.5,0.05,0.3
0.11649815,0.113839294269441,0.119157005730559,0,RF,500,0.5,0.05,0.3
-0.00330864999999825,-0.00596957157772386,-0.000647728422272639,0.00899659872850833,GLM,5000,10,0.1,0.3
-2.26499999999019e-05,-0.00268357157772551,0.00263827157772571,0.999999864537732,EN,5000,10,0.1,0.3
0.0160144499999997,0.0133535284222741,0.0186753715777253,0,AEN,5000,10,0.1,0.3
0.117452649999999,0.114791728422273,0.120113571577724,0,RF,5000,10,0.1,0.3
-0.00798455000000076,-0.0106442806577523,-0.00532481934224918,5.43121103646627e-13,GLM,500,1,0.1,0.3
-0.000282900000000197,-0.00294263065775177,0.00237683065775138,0.996929968306957,EN,500,1,0.1,0.3
0.0857411817109872,0.0830791166393195,0.0884032467826549,0,AEN,500,1,0.1,0.3
0.122591949999999,0.119932219342248,0.125251680657751,0,RF,500,1,0.1,0.3
-0.00644210000000245,-0.00910313887856119,-0.00378106112144371,9.39355981888212e-09,GLM,5000,1,0.01,0.6
0.000122450000000329,-0.00253858887855841,0.00278348887855907,0.999885780791466,EN,5000,1,0.01,0.6
0.0195580000000006,0.0168969611214419,0.0222190388785594,0,AEN,5000,1,0.01,0.6
0.0715072500000008,0.0688462111214421,0.0741682888785595,0,RF,5000,1,0.01,0.6
-0.00997174999999972,-0.012632460686313,-0.00731103931368643,0,GLM,1000,1,0.05,0.6
0.00016375000000135,-0.00249696068631194,0.00282446068631464,0.999638557313173,EN,1000,1,0.05,0.6
0.0515901499999983,0.048929439313685,0.0542508606863116,0,AEN,1000,1,0.05,0.6
0.0907274999999993,0.088066789313686,0.0933882106863126,0,RF,1000,1,0.05,0.6
-0.0057208000000003,-0.00838203534204792,-0.00305956465795269,4.21236941772207e-07,GLM,500,0.5,0.05,0.6
-0.000228249999999819,-0.00288948534204743,0.0024329853420478,0.99866793486861,EN,500,0.5,0.05,0.6
0.0677059235472472,0.065037637673424,0.0703742094210705,0,AEN,500,0.5,0.05,0.6
0.0782398999999998,0.0755786646579522,0.0809011353420474,0,RF,500,0.5,0.05,0.6
-0.00448729999999731,-0.00714657625264721,-0.00182802374734741,0.000141827093495639,GLM,5000,10,0.1,0.6
6.33499999984632e-05,-0.00259592625265144,0.00272262625264836,0.999991736456471,EN,5000,10,0.1,0.6
0.0190302999999999,0.01637102374735,0.0216895762526498,0,AEN,5000,10,0.1,0.6
0.0941312500000019,0.091471973747352,0.0967905262526518,0,RF,5000,10,0.1,0.6
-0.00662234999999833,-0.00928157895825538,-0.00396312104174129,4.92037766086639e-09,GLM,500,1,0.1,0.6
0.000212900000000293,-0.00244632895825675,0.00287212895825734,0.998985418699251,EN,500,1,0.1,0.6
0.0735662960645809,0.0709010363412079,0.0762315557879538,0,AEN,500,1,0.1,0.6
0.0868234000000001,0.0841641710417431,0.0894826289582571,0,RF,500,1,0.1,0.6
-0.0030861000000012,-0.00574722596928986,-0.000424974030712543,0.0166945892507635,GLM,5000,1,0.01,0.95
1.14999999965004e-05,-0.00264962596929216,0.00267262596928516,0.999999990994962,EN,5000,1,0.01,0.95
0.00729529999999912,0.00463417403071046,0.00995642596928777,4.86611861916231e-11,AEN,5000,1,0.01,0.95
0.00681644999999598,0.00415532403070732,0.00947757596928464,4.65362015589221e-09,RF,5000,1,0.01,0.95
-0.00435309999999745,-0.0070123828982952,-0.00169381710169969,0.000279110427486629,GLM,1000,1,0.05,0.95
-1.66999999987594e-05,-0.00267598289829651,0.00264258289829899,0.999999959965201,EN,1000,1,0.05,0.95
0.0133316121621607,0.0106716638609004,0.015991560463421,0,AEN,1000,1,0.05,0.95
0.00461395000000164,0.00195466710170389,0.0072732328982994,8.41049514207493e-05,RF,1000,1,0.05,0.95
-0.01149185,-0.0141509114065818,-0.00883278859341813,0,GLM,500,10,0.05,0
0.000973000000001556,-0.00168606140658028,0.0036320614065834,0.782962925447836,EN,500,10,0.05,0
0.00251789999999996,-0.000141161406581878,0.0051769614065818,0.0695859229971548,AEN,500,10,0.05,0
-0.00614534999999705,-0.00880441140657889,-0.00348628859341521,7.18041066605224e-08,RF,500,10,0.05,0
0.0095577999999984,0.00689811282293237,0.0122174871770644,0,GLM,500,0.5,0.05,0.95
2.87999999984967e-05,-0.00263088717706753,0.00268848717706453,0.999999646488013,EN,500,0.5,0.05,0.95
0.0291905091321897,0.0265247901508305,0.0318562281135488,0,AEN,500,0.5,0.05,0.95
-0.000651750000000062,-0.00331143717706609,0.00200793717706597,0.93532865625116,RF,500,0.5,0.05,0.95
-0.00551789999999919,-0.00817732411015642,-0.00285847588984195,2.02580032915289e-06,GLM,5000,10,0.1,0.95
6.58500000019213e-05,-0.00259357411015531,0.00272527411015915,0.999990355559783,EN,5000,10,0.1,0.95
0.0140870000000042,0.0114275758898469,0.0167464241101614,0,AEN,5000,10,0.1,0.95
0.0155441500000022,0.012884725889845,0.0182035741101594,0,RF,5000,10,0.1,0.95
0.00697015000000356,0.0043102888550062,0.00963001114500093,3.94905885769958e-10,GLM,500,1,0.1,0.95
-2.8500000005538e-06,-0.00266271114499792,0.00265701114499681,0.999999999966084,EN,500,1,0.1,0.95
0.030849289635996,0.0281820427712172,0.0335165365007748,0,AEN,500,1,0.1,0.95
0.00226165000000123,-0.000398211144996139,0.00492151114499859,0.121175432963377,RF,500,1,0.1,0.95
-0.00342584999999895,-0.00608560842119816,-0.000766091578799749,0.00607228130124449,GLM,5000,0.5,0.01,0
-4.68999999995168e-05,-0.00270665842119872,0.00261285842119969,0.999997513555811,EN,5000,0.5,0.01,0
0.0164122499999998,0.0137524915788006,0.019072008421199,0,AEN,5000,0.5,0.01,0
0.224794750000001,0.222134991578801,0.2274545084212,0,RF,5000,0.5,0.01,0
0.0201025999999992,0.0174416761915414,0.022763523808457,0,GLM,1000,0.5,0.05,0
-0.00019925000000065,-0.00286017380845845,0.00246167380845715,0.999219824294365,EN,1000,0.5,0.05,0
0.0648992847893093,0.0622199649244355,0.0675786046541831,0,AEN,1000,0.5,0.05,0
0.21282845,0.210167526191542,0.215489373808458,0,RF,1000,0.5,0.05,0
0.0194858000000004,0.0168254877177271,0.0221461122822738,0,GLM,1000,1,0.1,0
-0.00023480000000109,-0.00289511228227448,0.0024255122822723,0.998516024843764,EN,1000,1,0.1,0
0.0648094802056551,0.0621304270992448,0.0674885333120655,0,AEN,1000,1,0.1,0
0.190529249999998,0.187868937717724,0.193189562282271,0,RF,1000,1,0.1,0
-0.0031372999999989,-0.00579799404914502,-0.00047660595085278,0.0143026659325521,GLM,500,0.5,0.1,0
-0.000133099999999997,-0.00279379404914612,0.00252759404914612,0.999840941149423,EN,500,0.5,0.1,0
0.111569600000002,0.108908905950856,0.114230294049148,0,AEN,500,0.5,0.1,0
0.169295750000002,0.166635055950856,0.171956444049148,0,RF,500,0.5,0.1,0
-0.00419424999999962,-0.00685451789453374,-0.00153398210546551,0.000429947940185915,GLM,5000,0.5,0.01,0.3
3.26500000004115e-05,-0.0026276178945337,0.00269291789453453,0.999999415395173,EN,5000,0.5,0.01,0.3
0.01679425,0.0141339821054659,0.0194545178945341,0,AEN,5000,0.5,0.01,0.3
0.170389399999999,0.167729132105465,0.173049667894533,0,RF,5000,0.5,0.01,0.3
0.0160338499999998,0.0133738047366854,0.0186938952633142,0,GLM,1000,0.5,0.05,0.3
-1.34999999701346e-06,-0.00266139526331141,0.00265869526331738,0.999999999998296,EN,1000,0.5,0.05,0.3
0.0717823051282066,0.0691052625976123,0.0744593476588009,0,AEN,1000,0.5,0.05,0.3
0.1732139,0.170553854736686,0.175873945263315,0,RF,1000,0.5,0.05,0.3
0.0135663499999984,0.0109059226065485,0.0162267773934483,0,GLM,1000,1,0.1,0.3
5.14499999996199e-05,-0.00260897739345032,0.00271187739344956,0.999996412330431,EN,1000,1,0.1,0.3
0.0715475953987732,0.0688722483363069,0.0742229424612395,0,AEN,1000,1,0.1,0.3
0.172865899999999,0.170205472606549,0.175526327393449,0,RF,1000,1,0.1,0.3
-0.0178482000000022,-0.0205076914985743,-0.0151887085014301,0,GLM,500,20,0.1,0
0.00173699999999766,-0.000922491498574395,0.00439649149856971,0.31400067107262,EN,500,20,0.1,0
0.00625814999999852,0.00359865850142647,0.00891764149857057,2.44645766978024e-08,AEN,500,20,0.1,0
-0.00874119999999956,-0.0114006914985716,-0.00608170850142751,1.66533453693773e-15,RF,500,20,0.1,0
-0.00344709999999893,-0.00610661991407851,-0.000787580085919344,0.00573484625512788,GLM,500,0.5,0.1,0.3
-0.000183249999998747,-0.00284276991407833,0.00247626991408084,0.999436573318356,EN,500,0.5,0.1,0.3
0.101407066558281,0.0987472140587046,0.104066919057857,0,AEN,500,0.5,0.1,0.3
0.1439551,0.141295580085921,0.14661461991408,0,RF,500,0.5,0.1,0.3
-0.00498790000000038,-0.00764810289811807,-0.00232769710188269,2.08804935610818e-05,GLM,5000,0.5,0.01,0.6
-2.06500000009546e-05,-0.00268085289811864,0.00263955289811673,0.999999906403511,EN,5000,0.5,0.01,0.6
0.0228553999999983,0.0201951971018806,0.025515602898116,0,AEN,5000,0.5,0.01,0.6
0.122523099999997,0.119862897101879,0.125183302898114,0,RF,5000,0.5,0.01,0.6
0.00788950000000055,0.00522983718138848,0.0105491628186126,4.8203663283175e-12,GLM,1000,0.5,0.05,0.6
-0.000158599999997233,-0.0028182628186093,0.00250106281861484,0.999682351999926,EN,1000,0.5,0.05,0.6
0.0721832775739045,0.0695107677011149,0.0748557874466941,0,AEN,1000,0.5,0.05,0.6
0.126624750000002,0.12396508718139,0.129284412818614,0,RF,1000,0.5,0.05,0.6
